;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 1997;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 1997 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.*;d‚p. r‚elles;mobilis. du; + am.dette*/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;434 148; ;;3 733;1 824;3 335;1 317;1 720;442;36,01%;84,29%;118,41%;39,50%;51,58%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;255 937;;A;6 096;3 260;6 657;1 003;2 662;1 365;50,04%;84,31%;95,77%;15,06%;40,00%;
;SCHILTIGHEIM;29 330;;A;3 593;2 395;4 050;696;3 990;1 035;50,66%;59,96%;97,18%;17,17%;15,20%;
;ILLKIRCH GRAF.;23 738;;A;3 606;3 054;4 545;879;7 151;882;49,00%;71,00%;94,00%;19,00%;157,00%;
;LINGOLSHEIM;16 496;;A **;2 475;1 205;2 886;416;7 268;922;52,00%;50,00%;105,00%;14,00%;252,00%;
;BISCHHEIM;16 326; ;A;3 470;1 739;3 904;867;6 970;1 327;44,51%;70,93%;102,69%;22,22%;178,45%;
;HOENHEIM;10 587;;A;2 672;1 124;2 836;501;1 210;871;52,27%;47,13%;97,14%;17,65%;42,66%;
;OSTWALD;10 242;;A;2 949;1 477;3 311;544;4 195;1 069;57,42%;47,95%;100,00%;16,43%;126,71%;
;;;;;;;;;;;;;;;;
;SOUFFELWEYERSHEIM;5 607;;B;2 109;1 344;2 680;506;345;665;;;;;;
;GEISPOLSHEIM;5 555;;B;2 617;2 157;3 468;3 672;3 800;548;;;;;;
 ;ECKBOLSHEIM;5 264;;B;2 240;1 626;2 808;2 038;0;649;;;;;;
;VENDENHEIM;5 210;;B;3 004;2 752;3 737;1 128;1 189;594;;;;;;
 ;MUNDOLSHEIM;5 445;;B;3 231;2 085;3 756;1 851;5 043;500;;;;;;
;REICHSTETT;4 653;;B;2 466;1 620;2 811;1 209;3 647;530;;;;;;
;WANTZENAU (LA);4 953;;B;2 688;2 050;3 182;868;2 006;548;;;;;;
;FEGERSHEIM;3 953;;B;2 703;2 364;3 579;2 736;4 381;539;;;;;;
;ESCHAU;3 833;;B **;1 939;1 509;2 739;562;2 324;722;;;;;;
;;;;;;;;;;;;;;;;
;pour m‚moire valeurs moyennes (exercice 1995) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;6 200;3 319;6 896;1 383;7 400;1 541;48,3%;96,5%;99,5%;20,1%;1,07;
; - 100 000 … 300 000 hab.;;;;6 388;3 338;7 129;1 360;7 958;1 670;45,6%;100,2%;100,2%;19,1%;1,12;
; -   20 000 …   50 000 hab.;;;;6 204;3 380;6 801;1 382;7 143;1 513;49,3%;97,5%;100,3%;20,3%;1,05;
; -   10 000 …   20 000 hab.;;;;5 513;3 021;6 150;1 369;6 593;1 393;48,2%;92,1%;99,1%;22,3%;1,07;
;;;;;;;;;; *y compris dotation;;; *exclus de la dette les r‚am‚nagements;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;sp‚ciale instituteurs;;;de dette avec emprunts de refinancement;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;** chiffres du compte administratif 1996;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;;
;;;;;;;;;;;;;;;;
