;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2011;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2010 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8bis -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;475 358; ;;990;451;1 066;383;491;241;22,02%;128,93%;97,06%;35,97%;46,13%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;276 194;; ;1 190;484;1 263;336;543;229;59,75%;99,34%;98,56%;26,58%;43,01%;
;SCHILTIGHEIM;31 384;;A;782;371;860;250;371;142;58,68%;;96,20%;29,11%;0,42%;
;ILLKIRCH GRAF.;27 403;;A;775;420;963;526;229;130;59,73%;;82,51%;54,56%;23,65%;
;BISCHHEIM;17 922; ;A;788;417;895;134;1 138;261;56,60%;113,00%;99,00%;15,00%;1,27%;
;LINGOLSHEIM;16 982;;A ;548;321;676;339;177;149;54,49%;;6,94%;50,19%;25,89%;
;OSTWALD;10 906;;A;645;358;672;361;420;168;54,48%;;98,73%;53,45%;62,80%;
;HOENHEIM;10 589;;A;645;378;712;248;209;162;52,00%;;95,00%;35,00%;29,00%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 137;;B;704;419;786;820;635;98;;;;;;
;ECKBOLSHEIM;6 521;;B;675;450;742;578;900;102;;;;;;
;SOUFFELWEYERSHEIM;7 252;;B;639;409;914;524;1 097;100;;;;;;
;WANTZENAU (LA);6 059;;B;569;436;784;217;354;100;;;;;;
;VENDENHEIM;5 692;;B;843;531;938;164;529;97;;;;;;
;FEGERSHEIM;5 306;;B;743;486;782;614;849;93;;;;;;
;MUNDOLSHEIM;5 168;;B;870;425;986;137;733;96;;;;;;
;ESCHAU;4 866;;B;621;392;1 511;347;527;129;;;;;;
;REICHSTETT;4 510;;B;619;543;708;535;465;88;;;;;;
;OBERHAUSBERGEN;5 101;;B;388;293;544;255;1 212;47;;;;;;
;WOLFISHEIM;4 008;;B;626;374;722;251;518;98;;;;;;
;PLOBSHEIM;3 881;;B;492;350;679;557;345;99;;;;;;
