;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 1996;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 1996 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.*;d‚p. r‚elles;mobilis. du; + am.dette*/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;430 942; ;;3 262;1 877;4 096;1 396;1 628;448;39,91%;93,56%;84,68%;34,07%;39,74%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;255 937;;A;5 915;3 296;6 349;991;2 772;1 339;52,18%;90,82%;97,77%;15,61%;43,65%;
;SCHILTIGHEIM;29 330;;A;3 434;2 331;3 911;609;4 195;1 038;50,11%;58,80%;96,55%;15,58%;17,12%;
;ILLKIRCH GRAF.;23 738;;A;3 528;2 951;4 457;1 948;7 008;876;41,00%;81,00%;91,00%;44,00%;157,00%;
;LINGOLSHEIM;16 496;;A;2 549;1 183;2 821;372;7 278;891;51,15%;51,93%;109,27%;13,18%;257,94%;
;BISCHHEIM;16 326; ;A;3 275;1 627;3 641;652;6 981;1 299;49,70%;70,66%;101,18%;17,92%;191,71%;
;HOENHEIM;10 587;;A;2 553;1 092;2 763;441;1 299;865;52,00%;50,62%;95,41%;15,95%;47,00%;
;OSTWALD;10 242;;A;2 852;1 320;3 164;693;4 147;1 041;53,17%;48,30%;100,00%;21,92%;131,06%;
;;;;;;;;;;;;;;;;
;SOUFFELWEYERSHEIM;5 607;;B;2 045;1 249;2 528;400;1 894;638;;;;;;
;GEISPOLSHEIM;5 555;;B;2 267;1 908;3 151;3 087;3 882;567;;;;;;
 ;ECKBOLSHEIM;5 264;;B;2 046;1 477;2 611;1 696;1 317;662;;;;;;
;VENDENHEIM;5 210;;B;2 821;2 627;3 600;677;2 800;588;;;;;;
 ;MUNDOLSHEIM;5 445;;B;3 165;1 995;4 165;1 217;5 844;492;;;;;;
;REICHSTETT;4 653;;B;2 245;1 544;2 632;3 704;2 621;526;;;;;;
;WANTZENAU (LA);4 953;;B;2 482;1 920;2 981;1 027;2 183;544;;;;;;
;FEGERSHEIM;3 953;;B;2 598;2 364;3 377;1 097;4 709;533;;;;;;
;ESCHAU;3 833;;B;1 910;1 495;2 652;530;2 324;630;;;;;;
;;;;;;;;;;;;;;;;
;pour m‚moire valeurs moyennes (exercice 1993) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;5 989;3 208;6 724;1 452;7 312;1 536;46,6%;97,2%;98,5%;21,6%;1,09;
; - 100 000 … 300 000 hab.;;;;6 226;3 213;6 991;1 606;7 954;1 654;43,8%;100,3%;98,9%;23,0%;1,14;
; -   20 000 …   50 000 hab.;;;;5 984;3 251;6 629;1 446;6 924;1 510;47,7%;97,7%;99,3%;21,8%;1,04;
; -   10 000 …   20 000 hab.;;;;5 292;2 913;5 979;1 384;6 518;1 386;46,6%;93,2%;97,5%;23,1%;1,09;
;;;;;;;;;; *y compris dotation;;; *exclus de la dette les r‚am‚nagements;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;sp‚ciale instituteurs;;;de dette avec emprunts de refinancement;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;;
;;;;;;;;;;;;;;;;
