;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 1998;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 1998 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.*;d‚p. r‚elles;mobilis. du; + am.dette*/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;436 390; ;;3 923;1 924;3 542;687;1 647;472;36,28%;88,90%;119,15%;36,27%;42,64%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;255 937;;A;6 362;3 446;6 982;962;2 448;1 431;50,46%;86,27%;96,55%;13,78%;8,02%;
;SCHILTIGHEIM;29 330;;A;3 782;2 335;4 240;1 150;3 810;1 036;50,58%;58,05%;97,62%;27,05%;14,73%;
;ILLKIRCH GRAF.;23 738;;A;3 890;3 256;5 105;1 202;7 055;890;47,00%;185,00%;115,00%;24,00%;138,00%;
;LINGOLSHEIM;16 496;;A ;2 558;1 346;3 050;308;7 084;978;53,32%;54,24%;100,36%;10,09%;232,23%;
;BISCHHEIM;16 326; ;A;3 567;1 804;3 965;544;7 026;1 329;44,58%;67,55%;103,32%;13,73%;177,19%;
;HOENHEIM;10 587;;A;2 654;1 192;2 733;384;1 291;874;53,81%;48,90%;100,71%;14,06%;47,25%;
;OSTWALD;10 242;;A;3 052;1 568;3 466;786;4 080;1 088;58,23%;48,01%;100,00%;22,69%;117,70%;
;;;;;;;;;;;;;;;;
;SOUFFELWEYERSHEIM;5 607;;B;2 109;1 344;2 680;506;1 573;665;;;;;;
;GEISPOLSHEIM;7 123;;B;2 456;1 805;2 986;6 254;2 964;492;;;;;;
 ;ECKBOLSHEIM;5 264;;B;2 037;1 682;2 938;2 679;1 087;659;;;;;;
;VENDENHEIM;5 210;;B;2 857;2 894;3 900;1 305;1 138;594;;;;;;
 ;MUNDOLSHEIM;5 445;;B;3 235;2 158;4 334;2 599;4 492;501;;;;;;
;REICHSTETT;4 653;;B;2 540;1 697;2 961;1 263;3 797;534;;;;;;
;WANTZENAU (LA);5 172;;B;2 720;2 225;3 325;862;2 218;527;;;;;;
;FEGERSHEIM;3 953;;B;3 085;2 654;3 854;912;8 062;543;;;;;;
;ESCHAU;3 833;;B;2 012;1 681;2 904;1 247;1 519;803;;;;;;
;;;;;;;;;;;;;;;;
;pour m‚moire valeurs moyennes (exercice 1995) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;6 200;3 319;6 896;1 383;7 400;1 541;48,3%;96,5%;99,5%;20,1%;1,07;
; - 100 000 … 300 000 hab.;;;;6 388;3 338;7 129;1 360;7 958;1 670;45,6%;100,2%;100,2%;19,1%;1,12;
; -   20 000 …   50 000 hab.;;;;6 204;3 380;6 801;1 382;7 143;1 513;49,3%;97,5%;100,3%;20,3%;1,05;
; -   10 000 …   20 000 hab.;;;;5 513;3 021;6 150;1 369;6 593;1 393;48,2%;92,1%;99,1%;22,3%;1,07;
;;;;;;;;;; *y compris dotation;;; *exclus de la dette les r‚am‚nagements;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;sp‚ciale instituteurs;;;de dette avec emprunts de refinancement;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;;
;;;;;;;;;;;;;;;;
